trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
46,4,2227,1828,557,8,0.5511669658886894,0.4326530612244898,0.488479262672811,0.4588744588744589,0.5551304477850061,0.5409867172675522,True,balanced_subsample,entropy,20.0,,0.8999526931588583,19,39,1000,-1,73
46,5,2228,1818,556,17,0.5683453237410072,0.4433497536945813,0.4147465437788018,0.4285714285714285,0.5655175281739926,0.5641830811685222,True,balanced_subsample,entropy,20.0,,0.8999526931588583,19,39,1000,-1,73
47,1,2227,1826,557,24,0.6552962298025135,0.5656565656565656,0.5137614678899083,0.5384615384615384,0.651948530910222,0.6618359449000027,True,balanced,entropy,5.0,0.5,0.9309324370928336,16,26,900,-1,73
47,2,2227,1826,557,3,0.5727109515260324,0.452914798206278,0.4654377880184331,0.4590909090909091,0.5737224059097278,0.58597858498238,True,balanced,entropy,5.0,0.5,0.9309324370928336,16,26,900,-1,73
47,3,2227,1802,557,15,0.5709156193895871,0.4476190476190476,0.4331797235023041,0.4402810304449648,0.5695845537089287,0.59512062889672,True,balanced,entropy,5.0,0.5,0.9309324370928336,16,26,900,-1,73
47,4,2227,1828,557,8,0.5296229802513465,0.4150943396226415,0.5069124423963134,0.4564315352697095,0.5351818241740025,0.5417457305502846,True,balanced,entropy,5.0,0.5,0.9309324370928336,16,26,900,-1,73
47,5,2228,1818,556,17,0.5827338129496403,0.4623115577889447,0.423963133640553,0.4423076923076923,0.5791021029330382,0.5712518521539361,True,balanced,entropy,5.0,0.5,0.9309324370928336,16,26,900,-1,73
48,1,2227,1826,557,24,0.6642728904847397,0.5748792270531401,0.5458715596330275,0.56,0.6626081563841125,0.6820248437119428,True,balanced,log_loss,10.0,0.3,0.7899013691557581,17,16,500,-1,73
48,2,2227,1826,557,3,0.5942549371633752,0.4790697674418605,0.4746543778801843,0.4768518518518518,0.5939106465906141,0.5952629438872323,True,balanced,log_loss,10.0,0.3,0.7899013691557581,17,16,500,-1,73
48,3,2227,1802,557,15,0.5745062836624776,0.4565217391304347,0.4838709677419355,0.4697986577181208,0.5765470619792341,0.5875711574952562,True,balanced,log_loss,10.0,0.3,0.7899013691557581,17,16,500,-1,73
48,4,2227,1828,557,8,0.5314183123877917,0.4126984126984127,0.4792626728110599,0.4434968017057569,0.5361892470759642,0.5348739495798319,True,balanced,log_loss,10.0,0.3,0.7899013691557581,17,16,500,-1,73
48,5,2228,1818,556,17,0.5719424460431655,0.4477611940298507,0.4147465437788018,0.430622009569378,0.5686843379976604,0.5689952829547462,True,balanced,log_loss,10.0,0.3,0.7899013691557581,17,16,500,-1,73
49,1,2227,1826,557,24,0.6696588868940754,0.6517857142857143,0.3348623853211009,0.4424242424242424,0.6389358354734093,0.6925658304240752,True,,gini,50.0,0.5,0.9661200326060104,20,6,1000,-1,73
49,2,2227,1826,557,3,0.6193895870736086,0.5268817204301075,0.2258064516129032,0.3161290322580645,0.5726180587189724,0.5911764705882353,True,,gini,50.0,0.5,0.9661200326060104,20,6,1000,-1,73
49,3,2227,1802,557,15,0.6193895870736086,0.5268817204301075,0.2258064516129032,0.3161290322580645,0.5726180587189724,0.5905529953917051,True,,gini,50.0,0.5,0.9661200326060104,20,6,1000,-1,73
49,4,2227,1828,557,8,0.6211849192100538,0.5357142857142857,0.2073732718894009,0.2990033222591362,0.5684787047027081,0.5417457305502846,True,,gini,50.0,0.5,0.9661200326060104,20,6,1000,-1,73
49,5,2228,1818,556,17,0.6061151079136691,0.484375,0.1428571428571428,0.2206405693950178,0.535143261471607,0.5663309000448595,True,,gini,50.0,0.5,0.9661200326060104,20,6,1000,-1,73
