trial_number,objective_value,is_best,param_colsample_bytree,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,param_verbosity,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
40,0.346831979681163,False,0.9936129719318776,logloss,2.635429919811998,0.0459651226923495,8,1,500,-1,binary:logistic,73,0.0031324080386852,6.452054845582915,0.7570546059351242,hist,0,0.6113357787737493,0.0322838192010935,0.5039729461643738,0.0741972150126459,0.2705787849321439,0.0822014536573083,0.346831979681163,0.0784178676985539,0.5758390429788454,0.0386142301760671,0.5838126601016362,0.0561425537194514
41,0.3984946094508102,False,0.6377817910034107,logloss,0.5652943624630394,0.2616225617087865,4,6,600,-1,binary:logistic,73,1.136747703842278e-06,0.2694026173713326,0.6201202712445246,hist,0,0.5650123348359014,0.0371023789502463,0.4321933299130919,0.0578199968777485,0.3700968164714835,0.0545488957422811,0.3984946094508102,0.0555082489507452,0.5574805738075416,0.0382060904300257,0.5459509330999983,0.0533919304579634
42,0.3839605791670954,False,0.7706564633706122,logloss,0.2669959042400691,0.1883278122807515,2,7,600,-1,binary:logistic,73,4.859813486486011e-06,0.15274703096843,0.6346253641265452,hist,0,0.57327280007233,0.0365929189711917,0.4380708370893101,0.0606916252329449,0.34244704688623,0.0613179128065573,0.3839605791670954,0.0610554244243372,0.5604856655690398,0.038928378145433,0.5576712416116942,0.0480474510140732
43,0.3745694241913863,False,0.6429669338383508,logloss,0.861725397789435,0.2888204990056637,7,6,600,-1,binary:logistic,73,4.257355679043436e-06,0.4560608773872197,0.9800251398335722,hist,0,0.5847622799426528,0.0319475022850183,0.4607628014607312,0.0624769554751188,0.3221790047774067,0.0642642526457777,0.3745694241913863,0.0507459379590998,0.5655744858100509,0.0285194147699757,0.567514066290115,0.0442619999213282
44,0.4013263787814207,False,0.8178829814526013,logloss,0.045320300092551,0.1529804919760901,8,3,500,-1,binary:logistic,73,3.211370421984238e-05,0.1958586785381126,0.6456275619700228,hist,0,0.569318548751663,0.0429320994047662,0.4381058617232493,0.0684915771105422,0.3710057920771149,0.0625632741227886,0.4013263787814207,0.06416942886604,0.5611749083486008,0.0441403687606843,0.5550257007002871,0.0562379698393724
45,0.3924778729431872,False,0.6527223502570997,logloss,0.2185550829563861,0.0647146695234689,4,9,600,-1,binary:logistic,73,1.3570726186778912e-07,0.3456459203602556,0.6096165155931693,hist,0,0.5905131550056185,0.0359352853483976,0.4649701598775708,0.0608285804198672,0.3405952733268507,0.0594973017705891,0.3924778729431872,0.0595983194562036,0.574500035656761,0.0379883806914002,0.5620857182897568,0.0509178599248433
46,0.3342868617553222,False,0.6218684929909443,logloss,4.130991131840653,0.2311686401098448,3,7,500,-1,binary:logistic,73,1.142980090463895e-05,0.587682138605088,0.7882781927990392,hist,0,0.6081061183369283,0.0327721142319705,0.5079870039892219,0.085642857410562,0.2604574472582759,0.085718742777973,0.3342868617553222,0.0835570679442315,0.5698287980077119,0.0373080186768725,0.5781134132423722,0.0410074183470819
47,0.4025414604672516,False,0.6882648835279814,logloss,0.6094420484047076,0.1151653964037635,5,5,600,-1,binary:logistic,73,3.9409764670145486e-08,4.668432009899236,0.6860946347233562,hist,0,0.5768699223744882,0.0423206281817032,0.4458877985765851,0.0676441613441739,0.3672895615778125,0.0703211857751529,0.4025414604672516,0.0694800477993684,0.5670976750166965,0.0450286738472439,0.5604569559964457,0.0585163239495828
48,0.3725512223616604,False,0.7517879882231493,logloss,1.9984810482444433,0.1323332681027628,7,6,500,-1,binary:logistic,73,0.1619419471264591,0.1301503287263206,0.6578662176618794,hist,0,0.5750720070263358,0.0386629248740666,0.4358465564551991,0.0667996260000208,0.3267661607407094,0.0767128956672993,0.3725512223616604,0.0733853170537005,0.5590659247994914,0.0430309103024143,0.5586608004069247,0.0518131966989606
49,0.4074084136961314,False,0.7822341122656702,logloss,0.2916223194468129,0.1788457140705752,6,8,400,-1,binary:logistic,73,5.555360597987281e-07,2.1097187575291145,0.6005427755903674,hist,0,0.5732644046342819,0.0325081926426603,0.4421843396298334,0.0527360950344473,0.3783706083794868,0.0640684499449582,0.4074084136961314,0.0595849499002274,0.5653315132079993,0.0357357295429241,0.5546171746911149,0.051621627207821
