trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_colsample_bytree,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,param_verbosity
9,1,2227,1826,557,24,0.6732495511669659,0.68,0.3119266055045872,0.4276729559748428,0.6368449805229074,0.6658412492219425,0.7104637317944678,logloss,4.5647801168354265,0.0397654956478607,3,6,400,-1,binary:logistic,73,1.231138578118363e-05,0.1133155270476007,0.845564285010995,hist,0
9,2,2227,1826,557,3,0.6337522441651705,0.696969696969697,0.1059907834101382,0.184,0.5379716736485138,0.5773651396042287,0.7104637317944678,logloss,4.5647801168354265,0.0397654956478607,3,6,400,-1,binary:logistic,73,1.231138578118363e-05,0.1133155270476007,0.845564285010995,hist,0
9,3,2227,1802,557,15,0.6157989228007181,0.5176470588235295,0.2027649769585253,0.2913907284768212,0.5630626153490502,0.576524803469775,0.7104637317944678,logloss,4.5647801168354265,0.0397654956478607,3,6,400,-1,binary:logistic,73,1.231138578118363e-05,0.1133155270476007,0.845564285010995,hist,0
9,4,2227,1828,557,8,0.6140035906642729,0.52,0.1198156682027649,0.1947565543071161,0.5313421324923188,0.5430740037950664,0.7104637317944678,logloss,4.5647801168354265,0.0397654956478607,3,6,400,-1,binary:logistic,73,1.231138578118363e-05,0.1133155270476007,0.845564285010995,hist,0
9,5,2228,1818,556,17,0.6007194244604317,0.4545454545454545,0.1152073732718894,0.1838235294117647,0.5203180732724745,0.5737531095795441,0.7104637317944678,logloss,4.5647801168354265,0.0397654956478607,3,6,400,-1,binary:logistic,73,1.231138578118363e-05,0.1133155270476007,0.845564285010995,hist,0
10,1,2227,1826,557,24,0.6606822262118492,0.6629213483146067,0.2706422018348624,0.3843648208469055,0.6165125294434752,0.6638385970609726,0.7057628490872786,logloss,0.1637434041427772,0.0114008801285384,2,9,600,-1,binary:logistic,73,1.1804843117482667e-08,0.3492005833715648,0.6277622585122522,hist,0
10,2,2227,1826,557,3,0.6427289048473968,0.640625,0.1889400921658986,0.2918149466192171,0.5782753206830372,0.5913255624830578,0.7057628490872786,logloss,0.1637434041427772,0.0114008801285384,2,9,600,-1,binary:logistic,73,1.1804843117482667e-08,0.3492005833715648,0.6277622585122522,hist,0
10,3,2227,1802,557,15,0.6283662477558348,0.5625,0.2073732718894009,0.303030303030303,0.5738117502926795,0.5725535375440498,0.7057628490872786,logloss,0.1637434041427772,0.0114008801285384,2,9,600,-1,binary:logistic,73,1.1804843117482667e-08,0.3492005833715648,0.6277622585122522,hist,0
10,4,2227,1828,557,8,0.6086175942549371,0.4925373134328358,0.152073732718894,0.2323943661971831,0.5406254446059454,0.5380184331797235,0.7057628490872786,logloss,0.1637434041427772,0.0114008801285384,2,9,600,-1,binary:logistic,73,1.1804843117482667e-08,0.3492005833715648,0.6277622585122522,hist,0
10,5,2228,1818,556,17,0.60431654676259,0.4693877551020408,0.1059907834101382,0.1729323308270676,0.5186515960803585,0.567472778434811,0.7057628490872786,logloss,0.1637434041427772,0.0114008801285384,2,9,600,-1,binary:logistic,73,1.1804843117482667e-08,0.3492005833715648,0.6277622585122522,hist,0
