trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
18,3,2227,1802,557,15,0.5709156193895871,0.4466019417475728,0.423963133640553,0.4349881796690307,0.5687517961813003,0.591650853889943,True,balanced,log_loss,30.0,sqrt,0.6897607035668347,4,7,900,-1,73
18,4,2227,1828,557,8,0.5421903052064632,0.4194915254237288,0.456221198156682,0.4370860927152318,0.5452114550360145,0.5410138248847927,True,balanced,log_loss,30.0,sqrt,0.6897607035668347,4,7,900,-1,73
18,5,2228,1818,556,17,0.5845323741007195,0.4606741573033708,0.3778801843317972,0.4151898734177215,0.575321275737209,0.571034351508231,True,balanced,log_loss,30.0,sqrt,0.6897607035668347,4,7,900,-1,73
19,1,2227,1826,557,24,0.6409335727109515,0.5384615384615384,0.5779816513761468,0.5575221238938053,0.6429495593893115,0.6809558604638576,True,balanced,gini,20.0,0.7,0.8675902982463823,13,25,400,-1,73
19,2,2227,1826,557,3,0.5816876122082585,0.4639639639639639,0.4746543778801843,0.4692482915717539,0.5825204960648253,0.5991054486310654,True,balanced,gini,20.0,0.7,0.8675902982463823,13,25,400,-1,73
19,3,2227,1802,557,15,0.585278276481149,0.4700854700854701,0.5069124423963134,0.4878048780487805,0.5877775943896714,0.5975874220656004,True,balanced,gini,20.0,0.7,0.8675902982463823,13,25,400,-1,73
19,4,2227,1828,557,8,0.5403949730700179,0.4229249011857707,0.4930875576036866,0.4553191489361702,0.5451507644812268,0.5357820547573868,True,balanced,gini,20.0,0.7,0.8675902982463823,13,25,400,-1,73
19,5,2228,1818,556,17,0.5467625899280576,0.4248927038626609,0.456221198156682,0.44,0.5493429546393097,0.5689273140029635,True,balanced,gini,20.0,0.7,0.8675902982463823,13,25,400,-1,73
20,1,2227,1826,557,24,0.6355475763016158,0.5324675324675324,0.5642201834862385,0.5478841870824054,0.6372612966923673,0.6852994506237992,True,balanced,entropy,20.0,0.3,0.900598885646017,9,35,600,-1,73
20,2,2227,1826,557,3,0.5745062836624776,0.4557522123893805,0.4746543778801843,0.4650112866817156,0.5759749199856175,0.5976687449173217,True,balanced,entropy,20.0,0.3,0.900598885646017,9,35,600,-1,73
20,3,2227,1802,557,15,0.5655296229802513,0.4434389140271493,0.4516129032258064,0.4474885844748858,0.5662280906637149,0.5847248576850095,True,balanced,entropy,20.0,0.3,0.900598885646017,9,35,600,-1,73
20,4,2227,1828,557,8,0.5368043087971275,0.4163265306122449,0.4700460829493088,0.4415584415584415,0.5408946221141262,0.5310246679316888,True,balanced,entropy,20.0,0.3,0.900598885646017,9,35,600,-1,73
20,5,2228,1818,556,17,0.5503597122302158,0.4297872340425532,0.4654377880184331,0.4469026548672566,0.5531812683401147,0.569471065617226,True,balanced,entropy,20.0,0.3,0.900598885646017,9,35,600,-1,73
21,1,2227,1826,557,24,0.6409335727109515,0.5384615384615384,0.5779816513761468,0.5575221238938053,0.6429495593893115,0.6835538956997104,True,balanced,entropy,,0.7,0.8423795776449227,12,2,500,-1,73
21,2,2227,1826,557,3,0.59245960502693,0.4776785714285714,0.4930875576036866,0.4852607709750567,0.593574600329104,0.6029208457576579,True,balanced,entropy,,0.7,0.8423795776449227,12,2,500,-1,73
21,3,2227,1802,557,15,0.5745062836624776,0.4565217391304347,0.4838709677419355,0.4697986577181208,0.5765470619792341,0.5933992952019518,True,balanced,entropy,,0.7,0.8423795776449227,12,2,500,-1,73
